Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
51648276,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga","Antonia Lloyd-Jones, Beata Poźniak","=""""","=""""",0,3.94,Penguin Audio,Audible Audio,274,2019,2009,,2023/11/08,,,read,,,,1,0
18112493,Parissyndromet,Heidi Furre,"Furre, Heidi",,"=""8282880035""","=""9788282880039""",0,4.12,Flamme,Hardcover,207,2013,2013,,2024/12/21,,,read,,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.64,Hogarth,Hardcover,188,2016,2007,,2024/12/21,,,read,,,,1,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,,2025/07/15,,,read,,,,1,0
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385545681""","=""9780385545686""",0,4.54,Doubleday,Hardcover,535,2021,2021,,2025/07/10,to-read,to-read (#298),to-read,,,,0,0
40163119,Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385521316""","=""9780385521314""",0,4.47,Doubleday,Hardcover,441,2019,2018,,2025/07/10,to-read,to-read (#297),to-read,,,,0,0
42683,On Writing,Ernest Hemingway,"Hemingway, Ernest","Larry W. Phillips, Charles Scribner Jr.","=""0684854295""","=""9780684854298""",0,4.02,Scribner,Paperback,160,2004,1984,,2025/06/12,to-read,to-read (#296),to-read,,,,0,0
22816087,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.00,William Morrow,Kindle Edition,872,2015,2015,,2025/06/11,to-read,to-read (#295),to-read,,,,0,0
50365,"A Suitable Boy (A Bridge of Leaves, #1)",Vikram Seth,"Seth, Vikram",,"=""0060786523""","=""9780060786526""",0,4.11,Harper Perennial Modern Classics,Paperback,1474,2005,1993,,2025/06/11,to-read,to-read (#294),to-read,,,,0,0
139498940,Code The Hidden Language of Computer Hardware and Software Paperback - Illustrated 21 Oct 2000,Charles Petzold,"Petzold, Charles",,"=""""","=""""",0,4.40,Generic,Paperback,0,,1999,,2025/06/11,to-read,to-read (#293),to-read,,,,0,0
